split,seed,snr_db,n_targets,sample_index,search_radius,measurement_nmse_db,gain_vs_grid_db,per_component_half_bin_hit,harmful_update,candidate_axis_correctness,boundary_saturation_rate,minimum_candidate_margin
validation,20260808,0.0,4,12,0.25,-10.93097657991761,6.210381982751713,0.5,0.0,0.6666666666666666,0.5,0.0012258200391773372
validation,20260808,0.0,4,12,0.35,-11.344157131944508,6.6235625347786105,0.5,0.0,0.75,0.4166666666666667,0.01437984294474376
validation,20260808,0.0,4,12,0.45,-10.813367674317124,6.092773077151227,0.5,0.0,0.5833333333333334,0.3333333333333333,0.03129250158826735
validation,20260808,0.0,4,12,0.5,-10.473532678057307,5.7529380808914095,0.5,0.0,0.5,0.16666666666666666,0.0262317775999217
validation,20260808,0.0,4,12,0.55,-11.170519142254435,6.449924545088537,0.5,0.0,0.5,0.16666666666666666,0.008522560399720876
validation,20260808,0.0,4,13,0.25,-10.288402374889905,7.729856622230516,0.75,0.0,0.8333333333333334,0.9166666666666666,0.007842216152879796
validation,20260808,0.0,4,13,0.35,-12.181542134405994,9.622996381746605,0.75,0.0,0.75,0.5833333333333334,0.01791050423549
validation,20260808,0.0,4,13,0.45,-12.530600731738788,9.972054979079399,0.75,0.0,0.75,0.3333333333333333,0.026140771332660333
validation,20260808,0.0,4,13,0.5,-11.476100585458264,8.917554832798874,0.75,0.0,0.75,0.3333333333333333,0.047667359635314946
validation,20260808,0.0,4,13,0.55,-10.947457229328183,8.388911476668794,0.75,0.0,0.75,0.16666666666666666,0.014191166755890605
validation,20260808,0.0,4,14,0.25,-8.480191303681746,5.347592134647197,0.5,0.0,0.75,0.5833333333333334,0.0018341177714238089
validation,20260808,0.0,4,14,0.35,-8.873082328477084,5.740483159442535,0.5,0.0,0.75,0.4166666666666667,0.03003309874316538
validation,20260808,0.0,4,14,0.45,-8.431746272734284,5.299147103699735,0.5,0.0,0.75,0.16666666666666666,0.040468156673351616
validation,20260808,0.0,4,14,0.5,-8.36868663385918,5.236087464824632,0.5,0.0,0.75,0.16666666666666666,0.03554785241918273
validation,20260808,0.0,4,14,0.55,-8.189593773376785,5.056994604342236,0.5,0.0,0.75,0.16666666666666666,0.017411798148685605
validation,20260808,0.0,4,15,0.25,-9.079799370915035,6.073526892253768,0.5,0.0,0.6666666666666666,0.9166666666666666,0.013182408155160585
validation,20260808,0.0,4,15,0.35,-8.619841694370372,5.613569215709105,0.5,0.0,0.6666666666666666,0.75,0.0010157486010687806
validation,20260808,0.0,4,15,0.45,-9.137590541480323,6.131318062819056,0.5,0.0,0.5,0.3333333333333333,0.06436539738798207
validation,20260808,0.0,4,15,0.5,-8.864275220372761,5.858002741711494,0.5,0.0,0.5,0.3333333333333333,0.05248989837048386
validation,20260808,0.0,4,15,0.55,-9.032875554323194,6.026603075661927,0.5,0.0,0.5,0.3333333333333333,0.03650117105367382
validation,20260808,0.0,4,16,0.25,-10.10751439207441,7.721949507293203,0.75,0.0,0.75,0.75,0.011071851946088663
validation,20260808,0.0,4,16,0.35,-13.828313288563454,11.442748403782247,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0017705821128481361
validation,20260808,0.0,4,16,0.45,-14.63723450110708,12.251669616325874,0.75,0.0,0.75,0.25,0.014317154057541106
validation,20260808,0.0,4,16,0.5,-13.998788105635942,11.613223220854735,0.75,0.0,0.75,0.25,0.06561004059747498
validation,20260808,0.0,4,16,0.55,-11.98167474826867,9.596109863487463,0.75,0.0,0.75,0.25,0.048478367004182184
validation,20260808,0.0,4,17,0.25,-7.960848831562796,3.2992318245037486,0.0,0.0,0.3333333333333333,0.5833333333333334,0.015098386208870882
validation,20260808,0.0,4,17,0.35,-8.007350914526114,3.345733907467067,0.25,0.0,0.3333333333333333,0.3333333333333333,0.014380190274207307
