profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,44.0,0.0,4.0,-7.596628239357783,1.0,0.827745830852887,1.0000000000000002,0.8277458308528869,21.0,104.0,1.0,1.0,0.0,0.0,0.9999999802358397
A,20260626.0,45.0,0.0,4.0,-4.888589749137294,1.0,0.676672799348285,1.0,0.676672799348285,42.0,182.0,1.0,1.0,0.0,0.0,1.0000001179319253
A,20260626.0,46.0,0.0,4.0,-4.515278228526563,0.75,0.647824988799823,0.9886393539635387,0.6552692710467551,32.0,138.0,0.75,0.75,0.5,0.5,0.999999901417457
A,20260626.0,47.0,0.0,4.0,-6.351059797302854,1.0,0.7693067338243008,0.9999999999999999,0.7693067338243009,36.0,178.0,1.0,1.0,0.0,0.0,0.9999999850412506
A,20260626.0,48.0,0.0,4.0,-4.940811904004091,1.0,0.681453097809402,0.9999999999999999,0.6814530978094021,39.0,173.0,1.0,1.0,0.0,0.0,1.000000082985026
A,20260626.0,49.0,0.0,4.0,-4.398928337639124,1.0,0.6392527635993768,0.9999999999999998,0.6392527635993769,47.0,213.0,1.0,1.0,0.0,0.0,1.000000054746508
A,20260626.0,0.0,0.0,8.0,-4.940098891998084,0.875,0.6827351644233346,0.9952942813119183,0.685963113867596,65.0,294.0,0.875,0.875,0.3535533905932738,0.7071067811865476,1.0000000176969142
A,20260626.0,1.0,0.0,8.0,-6.444537267454383,0.875,0.777950335751446,0.993311874918898,0.7831883977174481,49.0,211.0,0.875,0.875,0.6123724356957945,0.3535533905932738,0.9999999956993092
A,20260626.0,2.0,0.0,8.0,-8.97488245084103,0.875,0.8763239326728941,0.995266467953756,0.8804917686763779,24.0,115.0,0.875,0.875,0.6123724356957945,0.3535533905932738,0.9999998260097842
A,20260626.0,3.0,0.0,8.0,-8.775315798968858,1.0,0.8717390215776427,1.0,0.8717390215776427,26.0,140.0,1.0,1.0,0.0,0.0,1.0000000670420803
A,20260626.0,4.0,0.0,8.0,-7.659138842654679,0.75,0.832389213290401,0.987306561027721,0.8430909366427575,31.0,139.0,0.75,0.875,0.7071067811865476,0.5,0.9999998662220991
A,20260626.0,5.0,0.0,8.0,-5.351184811955224,0.875,0.7113786274012681,0.993625846340546,0.7159421526938188,64.0,268.0,0.875,0.875,0.3535533905932738,0.5,0.9999999654495426
A,20260626.0,6.0,0.0,8.0,-11.735320885956046,1.0,0.9358145651062173,1.0,0.9358145651062173,12.0,77.0,1.0,1.0,0.0,0.0,1.0000001087644317
A,20260626.0,7.0,0.0,8.0,-7.151068287742329,1.0,0.8096533306942268,1.0,0.8096533306942268,43.0,190.0,1.0,1.0,0.0,0.0,0.9999999123530037
A,20260626.0,8.0,0.0,8.0,-9.246745252108493,1.0,0.8867076011102817,1.0000000000000002,0.8867076011102816,23.0,105.0,1.0,1.0,0.0,0.0,0.9999999319555349
A,20260626.0,9.0,0.0,8.0,-7.29565755021051,1.0,0.8156656335022181,0.9999999999999999,0.8156656335022182,36.0,164.0,1.0,1.0,0.0,0.0,1.0000000629020662
A,20260626.0,10.0,0.0,8.0,-7.569639348117433,0.875,0.8297926344631119,0.9986977095567219,0.8308746746114202,39.0,182.0,1.0,0.875,0.0,0.6123724356957945,1.0000000371522848
