profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
A,20260627.0,30.0,16.0,50.0,-10.068020676104577,0.9925,0.8971412182186498,0.9999924424294631,0.8971480513294628,36.84,169.54,0.99375,0.9925,0.03573132184970986,0.07090956063421093
A,20260628.0,0.0,4.0,50.0,-5.2730047655044805,0.955,0.6932418376973635,0.9988517085095913,0.6939948098919249,40.46,184.4,0.965,0.97,0.07,0.08382332347441762
A,20260628.0,0.0,8.0,50.0,-7.40702945101585,0.9425,0.8154205515002841,0.9979693962767459,0.8171426983712035,40.46,184.4,0.955,0.95,0.18545501581030982,0.19682835214817032
A,20260628.0,0.0,16.0,50.0,-9.11852678243371,0.86875,0.8814884784395244,0.993237816894212,0.8874780465928416,40.46,184.4,0.89875,0.8975,1.3120109949524126,0.6519422295742924
A,20260628.0,10.0,4.0,50.0,-5.304956959549347,0.985,0.693897763612628,0.9998340718615425,0.6939948098919249,40.46,184.4,0.99,0.99,0.02,0.02
A,20260628.0,10.0,8.0,50.0,-7.540086449680078,0.985,0.8169853034524412,0.9997973363249362,0.8171426983712035,40.46,184.4,0.9875,0.985,0.0382842712474619,0.05535533905932739
A,20260628.0,10.0,16.0,50.0,-9.671833961515535,0.96625,0.8871460855994822,0.9996192485698044,0.8874780465928416,40.46,184.4,0.97,0.96875,0.16913849083443588,0.19741961116831186
A,20260628.0,20.0,4.0,50.0,-5.3085329698290025,0.995,0.6939874175919258,0.9999835972082336,0.6939948098919249,40.46,184.4,0.995,0.995,0.01,0.01
A,20260628.0,20.0,8.0,50.0,-7.551696220068534,0.995,0.8171272057700508,0.9999816192766289,0.8171426983712035,40.46,184.4,0.995,0.995,0.017071067811865473,0.02
A,20260628.0,20.0,16.0,50.0,-9.714151326048382,0.995,0.8874595911938867,0.9999792226995663,0.8874780465928416,40.46,184.4,0.99625,0.995,0.02414213562373095,0.02414213562373095
A,20260628.0,30.0,4.0,50.0,-5.308886089888774,1.0,0.6939948098919249,1.0,0.6939948098919249,40.46,184.4,1.0,1.0,0.0,0.0
A,20260628.0,30.0,8.0,50.0,-7.552999422611086,0.9975,0.8171414694761765,0.9999985399529169,0.8171426983712035,40.46,184.4,0.9975,0.9975,0.01,0.007071067811865475
A,20260628.0,30.0,16.0,50.0,-9.717856703828694,0.9975,0.8874772172908907,0.9999990690480377,0.8874780465928416,40.46,184.4,0.9975,0.9975,0.013660254037844386,0.02118033988749895
A,20260629.0,0.0,4.0,50.0,-5.503538129760657,0.975,0.7113252284254007,0.9993899113473058,0.7117633581713393,36.1,167.72,0.975,0.98,0.05732050807568877,0.05
A,20260629.0,0.0,8.0,50.0,-7.78143948336322,0.95,0.8321093813830087,0.9976171962331268,0.8340824030788407,36.1,167.72,0.955,0.955,0.17654610655347966,0.14710026245630156
A,20260629.0,0.0,16.0,50.0,-9.505262588747451,0.8675,0.8942107280564313,0.9932308011427056,0.9003103540269702,36.1,167.72,0.895,0.89375,1.2160073568386114,0.6384362820070619
A,20260629.0,10.0,4.0,50.0,-5.541301770601759,0.99,0.7116495198486676,0.9998460411189487,0.7117633581713393,36.1,167.72,0.99,0.99,0.02414213562373095,0.03
A,20260629.0,10.0,8.0,50.0,-7.938388040968248,0.985,0.8339286315656957,0.9998117305345366,0.8340824030788407,36.1,167.72,0.99,0.9875,0.03638958433764684,0.0382842712474619
A,20260629.0,10.0,16.0,50.0,-10.144443192138866,0.95375,0.8997995426247595,0.9994352943016506,0.9003103540269702,36.1,167.72,0.96,0.965,0.26119395727860684,0.201814337969452
A,20260629.0,20.0,4.0,50.0,-5.54602147841927,1.0,0.7117633581713393,1.0,0.7117633581713393,36.1,167.72,1.0,1.0,0.0,0.0
A,20260629.0,20.0,8.0,50.0,-7.951784905405186,1.0,0.8340824030788407,1.0,0.8340824030788407,36.1,167.72,1.0,1.0,0.0,0.0
A,20260629.0,20.0,16.0,50.0,-10.199325467098841,0.99,0.9002824940948903,0.9999693563244478,0.9003103540269702,36.1,167.72,0.99,0.99125,0.07597506168251915,0.04207106781186548
A,20260629.0,30.0,4.0,50.0,-5.546248325937189,1.0,0.7117633581713393,1.0,0.7117633581713393,36.1,167.72,1.0,1.0,0.0,0.0
A,20260629.0,30.0,8.0,50.0,-7.952648239092671,1.0,0.8340824030788407,1.0,0.8340824030788407,36.1,167.72,1.0,1.0,0.0,0.0
A,20260629.0,30.0,16.0,50.0,-10.203706899143214,0.995,0.9003066053202079,0.9999958551993475,0.9003103540269702,36.1,167.72,0.995,0.995,0.031389584337646846,0.03484059392534333
A,20260630.0,0.0,4.0,50.0,-5.915865178748556,0.945,0.731099764818048,0.9977701083400303,0.732643961380675,34.14,156.36,0.965,0.95,0.07414213562373095,0.12478708664619076
A,20260630.0,0.0,8.0,50.0,-8.133515149057098,0.94,0.8424659069611031,0.9976200257544205,0.8445138320989153,34.14,156.36,0.9475,0.95,0.22357069828991802,0.18412485419273988
A,20260630.0,0.0,16.0,50.0,-9.808574731346614,0.86125,0.9000729968641736,0.9942098093202041,0.9053285956545561,34.14,156.36,0.8975,0.8975,1.885502970173251,0.7398049668132333
A,20260630.0,10.0,4.0,50.0,-5.967612550682784,0.99,0.7325885298159891,0.9999347272771391,0.732643961380675,34.14,156.36,0.99,0.995,0.02,0.01
A,20260630.0,10.0,8.0,50.0,-8.295383544398799,0.9775,0.8442856579867943,0.9997305469519168,0.8445138320989153,34.14,156.36,0.98,0.9825,0.09318874184138107,0.060531719961377795
A,20260630.0,10.0,16.0,50.0,-10.461704452948538,0.95625,0.9048572286286033,0.9994739859945564,0.9053285956545561,34.14,156.36,0.9675,0.965,0.2192228245925885,0.25833559100080733
A,20260630.0,20.0,4.0,50.0,-5.971768050386488,0.99,0.7326262602083362,0.9999683184449271,0.732643961380675,34.14,156.36,0.995,0.995,0.01,0.02
A,20260630.0,20.0,8.0,50.0,-8.311599387871087,0.995,0.8444925697625842,0.9999739392987809,0.8445138320989153,34.14,156.36,0.9975,0.995,0.01,0.017071067811865473
A,20260630.0,20.0,16.0,50.0,-10.520536992992591,0.99,0.9052989286697116,0.9999675972190317,0.9053285956545561,34.14,156.36,0.99,0.99,0.060372338001087406,0.08032820622898856
A,20260630.0,30.0,4.0,50.0,-5.972312532047836,1.0,0.732643961380675,1.0,0.732643961380675,34.14,156.36,1.0,1.0,0.0,0.0
A,20260630.0,30.0,8.0,50.0,-8.313192079269955,0.9975,0.8445122673396135,0.9999982651011174,0.8445138320989153,34.14,156.36,0.9975,0.9975,0.01224744871391589,0.007071067811865475
A,20260630.0,30.0,16.0,50.0,-10.525881818931444,0.99875,0.905327002226935,0.9999983222550562,0.9053285956545561,34.14,156.36,0.99875,0.99875,0.007071067811865475,0.026457513110645908
C,20260626.0,0.0,4.0,50.0,-5.8605171530725935,0.96,0.7214284983723452,0.9985600547751267,0.7223728281786508,24.82,90.32,0.97,0.96,0.0723606797749979,0.21533575639918573
