profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
C,20260627.0,0.0,0.0,16.0,-5.640733742193463,0.375,0.9119151732540436,12.467457639791682,0.82915619758885,1.0000001199373678
C,20260627.0,1.0,0.0,16.0,-5.906377854287641,0.6875,0.9245045231612783,10.124228365658293,0.82915619758885,1.0000000354171237
C,20260627.0,2.0,0.0,16.0,-5.14195167308006,0.375,0.8855344864982427,13.845125496000389,0.6614378277661477,0.9999999916837312
C,20260627.0,3.0,0.0,16.0,-6.488104026120523,0.375,0.951461695676384,12.114041439585717,0.9354143466934853,1.0000000324367773
C,20260627.0,0.0,10.0,4.0,-9.505588867559748,1.0,0.8893507736255538,0.0,0.0,0.10000001199373679
C,20260627.0,1.0,10.0,4.0,-6.59197619936279,1.0,0.7818263591639695,0.0,0.0,0.10000000354171237
C,20260627.0,2.0,10.0,4.0,-9.039207659893403,1.0,0.8766937400825296,0.0,0.0,0.09999999916837313
C,20260627.0,3.0,10.0,4.0,-12.057916872620222,1.0,0.9391192089304247,0.0,0.0,0.10000000324367772
C,20260627.0,0.0,10.0,8.0,-12.267518961039345,0.875,0.9424569472539553,0.3535533905932738,0.3535533905932738,0.10000001199373679
C,20260627.0,1.0,10.0,8.0,-9.905756782216871,1.0,0.9008892181549027,0.0,0.0,0.10000000354171237
C,20260627.0,2.0,10.0,8.0,-11.151069729288935,0.875,0.9268974044967324,0.0,0.3535533905932738,0.09999999916837313
C,20260627.0,3.0,10.0,8.0,-13.965620572200358,0.875,0.9625767567642685,0.3535533905932738,0.3535533905932738,0.10000000324367772
C,20260627.0,0.0,10.0,16.0,-14.141237460085193,0.875,0.9691945949451944,1.4577379737113252,0.5590169943749475,0.10000001199373679
C,20260627.0,1.0,10.0,16.0,-13.515361434191327,0.9375,0.9631368714349036,0.9354143466934853,0.0,0.10000000354171237
C,20260627.0,2.0,10.0,16.0,-13.26410912287628,0.875,0.9608039814664777,1.479019945774904,0.5,0.09999999916837313
C,20260627.0,3.0,10.0,16.0,-15.184475888016706,0.875,0.9780503369027997,1.479019945774904,0.5,0.10000000324367772
C,20260627.0,0.0,20.0,4.0,-9.556564348499151,1.0,0.8893507736255538,0.0,0.0,0.010000001199373679
C,20260627.0,1.0,20.0,4.0,-6.607838338834298,1.0,0.7818263591639695,0.0,0.0,0.010000000354171236
C,20260627.0,2.0,20.0,4.0,-9.083820764043018,1.0,0.8766937400825296,0.0,0.0,0.009999999916837312
C,20260627.0,3.0,20.0,4.0,-12.139212025116159,1.0,0.9391192089304247,0.0,0.0,0.010000000324367772
C,20260627.0,0.0,20.0,8.0,-12.453467148933457,1.0,0.9434078248860966,0.0,0.0,0.010000001199373679
C,20260627.0,1.0,20.0,8.0,-10.022141515371395,1.0,0.9008892181549027,0.0,0.0,0.010000000354171236
C,20260627.0,2.0,20.0,8.0,-11.346802254691447,0.875,0.9268974044967324,0.0,0.3535533905932738,0.009999999916837312
C,20260627.0,3.0,20.0,8.0,-14.431660172147485,1.0,0.9644090175788746,0.0,0.0,0.010000000324367772
C,20260627.0,0.0,20.0,16.0,-15.869162482467775,0.9375,0.9748580729507386,0.6614378277661477,0.0,0.010000001199373679
C,20260627.0,1.0,20.0,16.0,-14.33711373346878,1.0,0.9638885651414628,0.0,0.0,0.010000000354171236
C,20260627.0,2.0,20.0,16.0,-14.75560414327525,1.0,0.9672433342231839,0.0,0.0,0.009999999916837312
C,20260627.0,3.0,20.0,16.0,-17.021642516777927,0.9375,0.9809556158768837,0.5,0.0,0.010000000324367772
C,20260627.0,0.0,30.0,4.0,-9.560292113308753,1.0,0.8893507736255538,0.0,0.0,0.0010000001199373678
C,20260627.0,1.0,30.0,4.0,-6.611482469765137,1.0,0.7818263591639695,0.0,0.0,0.0010000000354171237
C,20260627.0,2.0,30.0,4.0,-9.089345258242409,1.0,0.8766937400825296,0.0,0.0,0.0009999999916837311
C,20260627.0,3.0,30.0,4.0,-12.154432945386322,1.0,0.9391192089304247,0.0,0.0,0.0010000000324367772
C,20260627.0,0.0,30.0,8.0,-12.47160722914879,1.0,0.9434078248860966,0.0,0.0,0.0010000001199373678
C,20260627.0,1.0,30.0,8.0,-10.037503559687693,1.0,0.9008892181549027,0.0,0.0,0.0010000000354171237
C,20260627.0,2.0,30.0,8.0,-11.376478224814782,1.0,0.927200530667845,0.0,0.0,0.0009999999916837311
C,20260627.0,3.0,30.0,8.0,-14.482615151819058,1.0,0.9644090175788746,0.0,0.0,0.0010000000324367772
C,20260627.0,0.0,30.0,16.0,-16.019351365266413,1.0,0.9750293054476548,0.0,0.0,0.0010000001199373678
C,20260627.0,1.0,30.0,16.0,-14.418686038635546,1.0,0.9638885651414628,0.0,0.0,0.0010000000354171237
C,20260627.0,2.0,30.0,16.0,-14.840014530912063,1.0,0.9672433342231839,0.0,0.0,0.0009999999916837311
C,20260627.0,3.0,30.0,16.0,-17.25003866971052,0.9375,0.9812294839621328,0.0,0.25,0.0010000000324367772
D,20260626.0,0.0,0.0,4.0,-11.561128832577692,0.5,0.982333784281054,10.828203913853857,0.7071067811865476,1.0000000625100125
D,20260626.0,1.0,0.0,4.0,-12.313476054478812,0.75,0.9758596902642531,8.0156097709407,0.5,1.0000000559507511
D,20260626.0,2.0,0.0,4.0,-12.249579985930518,0.75,0.981718481500952,10.012492197250394,0.5,1.000000086487727
D,20260626.0,3.0,0.0,4.0,-10.073091192691862,0.25,0.9778131429655686,20.45116133621756,0.8660254037844386,0.9999998475214116
D,20260626.0,0.0,0.0,8.0,-9.073532940110832,0.25,0.9824535060798386,11.805718953117594,0.9354143466934853,1.0000000625100125
D,20260626.0,1.0,0.0,8.0,-9.040913218958163,0.375,0.9760146314369297,12.879246872391258,0.6123724356957945,1.0000000559507511
D,20260626.0,2.0,0.0,8.0,-8.84730646570553,0.375,0.9822661393686766,10.124228365658293,0.7071067811865476,1.000000086487727
D,20260626.0,3.0,0.0,8.0,-7.8415587793569035,0.125,0.9778181957330394,21.3395173328733,1.0606601717798212,0.9999998475214116
D,20260626.0,0.0,0.0,16.0,-6.6561568644153635,0.125,0.9824641416257522,13.329947486768281,0.7071067811865476,1.0000000625100125
D,20260626.0,1.0,0.0,16.0,-6.42765325180413,0.25,0.9762685963335602,14.084566021003274,0.8660254037844386,1.0000000559507511
D,20260626.0,2.0,0.0,16.0,-6.3039269839892,0.3125,0.9854140557949185,13.141061600951424,0.6614378277661477,1.000000086487727
D,20260626.0,3.0,0.0,16.0,-5.772765645485199,0.125,0.9808326989692857,18.36096402697854,0.7905694150420949,0.9999998475214116
D,20260626.0,0.0,10.0,4.0,-18.757735439037482,0.75,0.9893560845827317,0.0,0.5,0.10000000625100125
D,20260626.0,1.0,10.0,4.0,-18.925486478526416,1.0,0.9884797267294828,0.0,0.0,0.10000000559507512
D,20260626.0,2.0,10.0,4.0,-17.61237438237872,0.75,0.983988042761018,2.0,0.5,0.1000000086487727
D,20260626.0,3.0,10.0,4.0,-18.503883889805167,0.75,0.9876834633207305,0.5,0.0,0.09999998475214116
D,20260626.0,0.0,10.0,8.0,-17.578700501589182,0.5,0.9925877466764184,9.219544457292887,0.8660254037844386,0.10000000625100125
D,20260626.0,1.0,10.0,8.0,-18.78475747631421,0.75,0.9920959656374663,8.902246907382429,0.5,0.10000000559507512
D,20260626.0,2.0,10.0,8.0,-19.73768340143747,0.75,0.9940965407067249,3.5355339059327378,0.3535533905932738,0.1000000086487727
D,20260626.0,3.0,10.0,8.0,-21.04949821407388,0.875,0.996624115820571,0.3535533905932738,0.3535533905932738,0.09999998475214116
D,20260626.0,0.0,10.0,16.0,-16.363792742304554,0.4375,0.9966341783864454,13.490737563232042,0.6614378277661477,0.10000000625100125
D,20260626.0,1.0,10.0,16.0,-16.335544770374234,0.4375,0.9929739915814246,11.629703349613008,0.75,0.10000000559507512
D,20260626.0,2.0,10.0,16.0,-16.548581348558905,0.5625,0.9947022053375543,11.00568035152757,0.5,0.1000000086487727
D,20260626.0,3.0,10.0,16.0,-17.222886229383995,0.5,0.9967504134274681,10.25,0.7905694150420949,0.09999998475214116
D,20260626.0,0.0,20.0,4.0,-21.02281944490274,1.0,0.992188132349651,0.0,0.0,0.010000000625100125
D,20260626.0,1.0,20.0,4.0,-19.30817323376305,1.0,0.9884797267294828,0.0,0.0,0.010000000559507512
