profile,seed,L,snr_db,sample,method,nmse_db,newton_updates,wall_ms
A,3102,4,0.0,0,nomp2d,-9.871627636247261,40,11.69
A,3102,4,0.0,1,grid,-4.078551235608417,0,0.12
A,3102,4,0.0,1,deterministic,-6.488194118804401,0,1.4
A,3102,4,0.0,1,controller,-5.922113770061257,0,1.86
A,3102,4,0.0,1,nomp2d,-9.189481254582654,47,11.16
A,3102,4,0.0,2,grid,-3.5327986179658613,0,0.12
A,3102,4,0.0,2,deterministic,-4.523517543598643,0,1.23
A,3102,4,0.0,2,controller,-4.5608434752761715,0,1.63
A,3102,4,0.0,2,nomp2d,-7.925855527074489,39,10.77
A,3102,4,0.0,3,grid,-3.7993911730682353,0,0.11
A,3102,4,0.0,3,deterministic,-4.655545839917264,0,1.2
A,3102,4,0.0,3,controller,-4.680583050510432,0,1.56
A,3102,4,0.0,3,nomp2d,-7.7165859813585955,41,10.79
A,3102,4,0.0,4,grid,-4.128972140863686,0,0.11
A,3102,4,0.0,4,deterministic,-6.96190526786843,0,1.19
A,3102,4,0.0,4,controller,-7.190477960479798,0,1.53
A,3102,4,0.0,4,nomp2d,-10.264505700804833,36,11.21
A,3102,4,0.0,5,grid,-4.962585517686178,0,0.11
A,3102,4,0.0,5,deterministic,-4.808822746382924,0,1.23
A,3102,4,0.0,5,controller,-5.231762482014172,0,1.58
A,3102,4,0.0,5,nomp2d,-7.177766180889584,48,9.76
A,3102,4,10.0,0,grid,-3.538076618799246,0,0.25
A,3102,4,10.0,0,deterministic,-5.135731606703796,0,1.38
A,3102,4,10.0,0,controller,-5.207267244737569,0,2.14
A,3102,4,10.0,0,nomp2d,-10.520249511400163,45,12.29
A,3102,4,10.0,1,grid,-4.103911680600039,0,0.13
A,3102,4,10.0,1,deterministic,-6.4723707117858424,0,1.33
A,3102,4,10.0,1,controller,-7.004639319576751,0,1.79
A,3102,4,10.0,1,nomp2d,-9.678078561031848,46,11.4
A,3102,4,10.0,2,grid,-4.165480724248049,0,0.12
A,3102,4,10.0,2,deterministic,-6.893279917283387,0,1.25
A,3102,4,10.0,2,controller,-7.112709002582804,0,1.67
A,3102,4,10.0,2,nomp2d,-9.073058308122476,41,11.27
A,3102,4,10.0,3,grid,-4.263438713735374,0,0.12
A,3102,4,10.0,3,deterministic,-5.247722351160609,0,1.26
A,3102,4,10.0,3,controller,-5.60867387900998,0,1.7
A,3102,4,10.0,3,nomp2d,-8.527287137631607,43,10.84
A,3102,4,10.0,4,grid,-4.176586650643827,0,0.11
A,3102,4,10.0,4,deterministic,-7.0709859356090945,0,1.28
A,3102,4,10.0,4,controller,-7.523858581784677,0,1.65
A,3102,4,10.0,4,nomp2d,-12.629850456033783,42,10.89
A,3102,4,10.0,5,grid,-5.053276582396942,0,0.11
A,3102,4,10.0,5,deterministic,-5.411513660070007,0,1.21
A,3102,4,10.0,5,controller,-6.29634606017024,0,1.58
A,3102,4,10.0,5,nomp2d,-7.8130719391123655,47,10.09
A,3102,4,20.0,0,grid,-3.6632162949669618,0,0.26
A,3102,4,20.0,0,deterministic,-5.0945787760588015,0,1.41
A,3102,4,20.0,0,controller,-3.7863824629696263,0,1.92
A,3102,4,20.0,0,nomp2d,-10.776499341207064,44,11.95
A,3102,4,20.0,1,grid,-4.172174775557048,0,0.13
A,3102,4,20.0,1,deterministic,-6.994046222965976,0,1.27
A,3102,4,20.0,1,controller,-6.366595097077773,0,1.65
A,3102,4,20.0,1,nomp2d,-9.821543377096425,47,9.93
A,3102,4,20.0,2,grid,-4.169581696881039,0,0.11
A,3102,4,20.0,2,deterministic,-6.908168101782653,0,1.21
A,3102,4,20.0,2,controller,-7.10590660974586,0,1.58
A,3102,4,20.0,2,nomp2d,-9.11686590569109,41,11.04
A,3102,4,20.0,3,grid,-4.289167621054898,0,0.11
A,3102,4,20.0,3,deterministic,-5.272398144515021,0,1.19
A,3102,4,20.0,3,controller,-5.625147476175618,0,1.54
A,3102,4,20.0,3,nomp2d,-8.775474280266865,45,10.39
A,3102,4,20.0,4,grid,-4.188069172572782,0,0.11
A,3102,4,20.0,4,deterministic,-7.088288880168409,0,1.17
A,3102,4,20.0,4,controller,-7.606170898073705,0,1.52
A,3102,4,20.0,4,nomp2d,-12.84849573839301,42,10.54
A,3102,4,20.0,5,grid,-5.0736626325821454,0,0.11
A,3102,4,20.0,5,deterministic,-5.441875029307782,0,1.18
A,3102,4,20.0,5,controller,-6.357581465999422,0,1.55
A,3102,4,20.0,5,nomp2d,-7.536198194509193,47,9.86
A,3102,4,30.0,0,grid,-3.6639389948964007,0,0.24
A,3102,4,30.0,0,deterministic,-5.030729600230019,0,1.37
A,3102,4,30.0,0,controller,-3.7652351226765206,0,1.95
A,3102,4,30.0,0,nomp2d,-10.784825760405264,42,11.49
A,3102,4,30.0,1,grid,-4.174544385089159,0,0.12
A,3102,4,30.0,1,deterministic,-6.996989973975449,0,1.44
A,3102,4,30.0,1,controller,-6.364242952613105,0,1.87
A,3102,4,30.0,1,nomp2d,-9.840412839095038,48,10.75
A,3102,4,30.0,2,grid,-4.1704594301420626,0,0.12
A,3102,4,30.0,2,deterministic,-6.910586234513614,0,1.22
A,3102,4,30.0,2,controller,-7.10748509926961,0,1.6
A,3102,4,30.0,2,nomp2d,-9.124617134196196,41,10.97
A,3102,4,30.0,3,grid,-4.289794281131176,0,0.13
A,3102,4,30.0,3,deterministic,-5.2730601731352555,0,1.26
A,3102,4,30.0,3,controller,-5.625678612212446,0,1.64
A,3102,4,30.0,3,nomp2d,-8.663852280731719,42,10.62
A,3102,4,30.0,4,grid,-4.191061785338498,0,0.1
A,3102,4,30.0,4,deterministic,-7.093321971531543,0,1.19
A,3102,4,30.0,4,controller,-7.614309227794493,0,1.54
A,3102,4,30.0,4,nomp2d,-12.871566904018302,42,10.37
A,3102,4,30.0,5,grid,-5.075836204279333,0,0.1
A,3102,4,30.0,5,deterministic,-5.184994514072422,0,1.18
A,3102,4,30.0,5,controller,-6.415374171623235,0,1.53
A,3102,4,30.0,5,nomp2d,-7.547766117740457,47,9.89
A,3102,8,0.0,0,grid,-6.1365315648264325,0,0.3
A,3102,8,0.0,0,deterministic,-7.490381474774713,0,2.53
A,3102,8,0.0,0,controller,-6.838473729523784,0,3.1
A,3102,8,0.0,0,nomp2d,-7.3990565452809065,139,37.3
A,3102,8,0.0,1,grid,-4.555178172684171,0,0.17
A,3102,8,0.0,1,deterministic,-7.215776576293825,0,2.31
A,3102,8,0.0,1,controller,-6.851767468831749,0,2.84
A,3102,8,0.0,1,nomp2d,-8.795762004428205,153,37.69
A,3102,8,0.0,2,grid,-4.2036647384014305,0,0.18
A,3102,8,0.0,2,deterministic,-5.868616006319107,0,2.38
A,3102,8,0.0,2,controller,-5.806883341371174,0,3.07
A,3102,8,0.0,2,nomp2d,-6.307783736111549,130,39.87
A,3102,8,0.0,3,grid,-6.389425250254153,0,0.16
A,3102,8,0.0,3,deterministic,-7.675116040888544,0,2.32
A,3102,8,0.0,3,controller,-7.234718948066493,0,2.84
A,3102,8,0.0,3,nomp2d,-7.904571061547479,146,36.65
A,3102,8,0.0,4,grid,-6.153219628046984,0,0.17
A,3102,8,0.0,4,deterministic,-9.353934223505219,0,2.29
A,3102,8,0.0,4,controller,-9.653817036021973,0,2.78
A,3102,8,0.0,4,nomp2d,-7.3979687236081055,116,40.82
A,3102,8,0.0,5,grid,-5.074146855742585,0,0.16
A,3102,8,0.0,5,deterministic,-5.801017551523833,0,2.34
A,3102,8,0.0,5,controller,-5.967943541085596,0,2.83
A,3102,8,0.0,5,nomp2d,-6.196606692965524,152,35.6
A,3102,8,10.0,0,grid,-7.348636457937035,0,0.3
A,3102,8,10.0,0,deterministic,-11.559500760253918,0,2.55
A,3102,8,10.0,0,controller,-11.152050110364913,0,3.09
A,3102,8,10.0,0,nomp2d,-16.716043984096768,149,35.06
A,3102,8,10.0,1,grid,-6.4846580613905545,0,0.16
A,3102,8,10.0,1,deterministic,-8.345732741981513,0,2.27
A,3102,8,10.0,1,controller,-9.067780765820187,0,2.76
A,3102,8,10.0,1,nomp2d,-18.127672151164568,147,35.46
A,3102,8,10.0,2,grid,-6.169328865980778,0,0.17
A,3102,8,10.0,2,deterministic,-8.41348775016072,0,2.29
A,3102,8,10.0,2,controller,-7.992983208511136,0,2.82
A,3102,8,10.0,2,nomp2d,-18.49552729617359,153,34.79
