seed,snr_db,L,scene,method,nmse_db,wall_ms,newton_updates
2,20,8,5,deterministic,-13.371964,86.291,0
2,20,8,5,learned_scalar,-13.133733,116.766,0
2,20,8,5,nomp_inspired,-55.831505,1336.739,48
2,20,8,5,parafac_als,-12.563823,25.789,0
2,30,2,1,grid,-8.391937,9.729,0
2,30,2,1,deterministic,-16.821833,19.784,0
2,30,2,1,learned_scalar,-17.628035,23.989,0
2,30,2,1,nomp_inspired,-69.519248,76.701,6
2,30,2,1,parafac_als,-52.364962,16.025,0
2,30,2,2,grid,-4.758130,9.442,0
2,30,2,2,deterministic,-15.072001,20.105,0
2,30,2,2,learned_scalar,-14.595540,24.929,0
