profile,seed,snr_db,l_value,sample_index,component_index,delay_resolution_ns,spatial_resolution,gate_pass,grid_delay_error_bins,grid_projected_spatial_error_bins,candan_delay_error_bins,candan_projected_spatial_error_bins,gated_candan_delay_error_bins,gated_candan_projected_spatial_error_bins
D,20260628,20.0,16,10,3,130.20833333333334,0.25,1,0.006271998747252023,0.19921875,0.4610622894595763,0.06024223232130854,0.4610622894595763,0.06024223232130854
D,20260628,20.0,16,10,4,130.20833333333334,0.25,1,4.095615972299129,0.03515625,3.5956159722991288,1.2966628605779427,3.5956159722991288,1.2966628605779427
D,20260628,20.0,16,10,5,130.20833333333334,0.25,1,0.6368000099901111,0.2587890625,0.07128130363945932,0.7587890625,0.07128130363945932,0.7587890625
D,20260628,20.0,16,10,6,130.20833333333334,0.25,1,4.237631944008172,0.626953125,4.737631944008172,1.126953125,4.737631944008172,1.126953125
D,20260628,20.0,16,10,7,130.20833333333334,0.25,1,0.046784018399193834,0.9736328125,0.6324420996517048,0.0263671875,0.6324420996517048,0.0263671875
D,20260628,20.0,16,10,8,130.20833333333334,0.25,1,0.026880000518758607,1.03515625,0.4411307654903282,1.53515625,0.4411307654903282,1.53515625
D,20260628,20.0,16,10,9,130.20833333333334,0.25,1,3.6191995544359084,1.091796875,5.880800445564091,1.591796875,5.880800445564091,1.591796875
D,20260628,20.0,16,10,10,130.20833333333334,0.25,1,1.1042559567140413,0.3955078125,1.3905464011196997,1.1044921875,1.3905464011196997,1.1044921875
D,20260628,20.0,16,10,11,130.20833333333334,0.25,1,0.5299840156803839,0.0087890625,0.6145741448878184,0.0087890625,0.6145741448878184,0.0087890625
D,20260628,20.0,16,10,12,130.20833333333334,0.25,1,4.455743907485157,1.583984375,1.4993925626430882,0.8364791155735816,1.4993925626430882,0.8364791155735816
D,20260628,20.0,16,11,0,130.20833333333334,0.25,0,0.0,0.0048828125,0.0034754634820706107,0.006104823052757613,0.0,0.0048828125
D,20260628,20.0,16,11,1,130.20833333333334,0.25,0,0.006271998747252023,0.62890625,0.0036247604472238043,0.08654374645414231,0.006271998747252023,0.62890625
D,20260628,20.0,16,11,2,130.20833333333334,0.25,0,0.36319999000988895,0.0986328125,0.4094761673341835,0.5986328125,0.36319999000988895,0.0986328125
D,20260628,20.0,16,11,3,130.20833333333334,0.25,0,0.07903993921354407,0.1494140625,0.5790399392135441,0.46738023915313587,0.07903993921354407,0.1494140625
D,20260628,20.0,16,11,4,130.20833333333334,0.25,0,3.0956159722991283,1.0341796875,3.5956159722991288,0.7202070845396777,3.0956159722991283,1.0341796875
D,20260628,20.0,16,11,5,130.20833333333334,0.25,0,0.6145279399352149,0.078125,0.6399296137839202,0.578125,0.6145279399352149,0.078125
D,20260628,20.0,16,11,6,130.20833333333334,0.25,0,0.026880000518758607,0.0029296875,0.669848847314595,0.4970703125,0.026880000518758607,0.0029296875
