profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse,mean_physical_delay_rmse_ns,mean_projected_broadside_angle_rmse_deg,mean_matched_physical_paths,mean_clean_grid_physical_delay_rmse_ns,mean_clean_grid_projected_broadside_angle_rmse_deg,mean_physical_delay_rmse_gap_vs_clean_grid_ns,mean_projected_angle_rmse_gap_vs_clean_grid_deg
A,20260629.0,0.0,8.0,50.0,-7.78143948336322,0.95,0.8321093813830087,0.9976171962331268,0.8340824030788407,36.1,167.72,0.955,0.955,0.17654610655347966,0.14710026245630156,70.7849695798628,37.46520485766605,8.0,70.33393996415657,37.35748752936834,0.45102961570622424,0.10771732829771849
A,20260629.0,0.0,16.0,50.0,-9.505262588747451,0.8675,0.8942107280564313,0.9932308011427056,0.9003103540269702,36.1,167.72,0.895,0.89375,1.2160073568386114,0.6384362820070619,198.47101883651843,29.606030441579755,16.0,167.60553338759235,28.486504397535285,30.86548544892604,1.1195260440444725
A,20260629.0,10.0,4.0,50.0,-5.541301770601759,0.99,0.7116495198486676,0.9998460411189487,0.7117633581713393,36.1,167.72,0.99,0.99,0.02414213562373095,0.03,45.56722050085393,22.708990181334713,4.0,46.21782332918204,22.844007391655072,-0.650602828328115,-0.13501721032035832
A,20260629.0,10.0,8.0,50.0,-7.938388040968248,0.985,0.8339286315656957,0.9998117305345366,0.8340824030788407,36.1,167.72,0.99,0.9875,0.03638958433764684,0.0382842712474619,69.88217222389177,37.357339786044534,8.0,70.33393996415657,37.35748752936834,-0.4517677402648056,-0.0001477433238051873
A,20260629.0,10.0,16.0,50.0,-10.144443192138866,0.95375,0.8997995426247595,0.9994352943016506,0.9003103540269702,36.1,167.72,0.96,0.965,0.26119395727860684,0.201814337969452,169.7080651973495,28.320508066790723,16.0,167.60553338759235,28.486504397535285,2.1025318097571573,-0.16599633074456135
A,20260629.0,20.0,4.0,50.0,-5.54602147841927,1.0,0.7117633581713393,1.0,0.7117633581713393,36.1,167.72,1.0,1.0,0.0,0.0,46.21782332918204,22.844007391655072,4.0,46.21782332918204,22.844007391655072,0.0,0.0
A,20260629.0,20.0,8.0,50.0,-7.951784905405186,1.0,0.8340824030788407,1.0,0.8340824030788407,36.1,167.72,1.0,1.0,0.0,0.0,70.33393996415657,37.35748752936834,8.0,70.33393996415657,37.35748752936834,0.0,0.0
A,20260629.0,20.0,16.0,50.0,-10.199325467098841,0.99,0.9002824940948903,0.9999693563244478,0.9003103540269702,36.1,167.72,0.99,0.99125,0.07597506168251915,0.04207106781186548,167.5382002560527,28.56669559758577,16.0,167.60553338759235,28.486504397535285,-0.06733313153964048,0.08019120005048812
A,20260629.0,30.0,4.0,50.0,-5.546248325937189,1.0,0.7117633581713393,1.0,0.7117633581713393,36.1,167.72,1.0,1.0,0.0,0.0,46.21782332918204,22.844007391655072,4.0,46.21782332918204,22.844007391655072,0.0,0.0
A,20260629.0,30.0,8.0,50.0,-7.952648239092671,1.0,0.8340824030788407,1.0,0.8340824030788407,36.1,167.72,1.0,1.0,0.0,0.0,70.33393996415657,37.35748752936834,8.0,70.33393996415657,37.35748752936834,0.0,0.0
A,20260629.0,30.0,16.0,50.0,-10.203706899143214,0.995,0.9003066053202079,0.9999958551993475,0.9003103540269702,36.1,167.72,0.995,0.995,0.031389584337646846,0.03484059392534333,166.97672803695002,28.426276977577203,16.0,167.60553338759235,28.486504397535285,-0.6288053506423217,-0.06022741995808126
A,20260630.0,0.0,4.0,50.0,-5.915865178748556,0.945,0.731099764818048,0.9977701083400303,0.732643961380675,34.14,156.36,0.965,0.95,0.07414213562373095,0.12478708664619076,46.7487677837768,23.375145548509007,4.0,45.59132435308586,23.695299109186376,1.1574434306909456,-0.32015356067736706
A,20260630.0,0.0,8.0,50.0,-8.133515149057098,0.94,0.8424659069611031,0.9976200257544205,0.8445138320989153,34.14,156.36,0.9475,0.95,0.22357069828991802,0.18412485419273988,72.88081029555676,37.722534293457066,8.0,70.30012426003533,38.09369894046981,2.5806860355214383,-0.37116464701274543
