profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,physical_delay_rmse_ns,projected_broadside_angle_rmse_deg,matched_physical_paths,clean_grid_physical_delay_rmse_ns,clean_grid_projected_broadside_angle_rmse_deg,physical_delay_rmse_gap_vs_clean_grid_ns,projected_angle_rmse_gap_vs_clean_grid_deg,physical_truth_path_count,noise_variance
A,20260626.0,10.0,0.0,4.0,-5.940097846379773,1.0,0.7463439187654295,0.9999999999999999,0.7463439187654296,39.0,182.0,1.0,1.0,0.0,0.0,32.56795068669807,29.14176170543308,4.0,32.56795068669807,29.14176170543308,0.0,0.0,23.0,1.0000000371522848
A,20260626.0,11.0,0.0,4.0,-4.391523308185486,1.0,0.638576506925052,0.9999999999999998,0.6385765069250521,47.0,207.0,1.0,1.0,0.0,0.0,23.6651108860136,23.489677661756247,4.0,23.6651108860136,23.489677661756247,0.0,0.0,23.0,0.9999998558258446
A,20260626.0,12.0,0.0,4.0,-5.569873671229557,1.0,0.7239863418290666,1.0,0.7239863418290666,41.0,185.0,1.0,1.0,0.0,0.0,68.30788979660785,22.51745832981438,4.0,68.30788979660785,22.51745832981438,0.0,0.0,23.0,0.9999999480379547
A,20260626.0,13.0,0.0,4.0,-6.235653762520801,1.0,0.7655321647301788,1.0,0.7655321647301788,35.0,151.0,1.0,1.0,0.0,0.0,66.44836011495775,19.528208439269047,4.0,66.44836011495775,19.528208439269047,0.0,0.0,23.0,1.0000000264367026
A,20260626.0,14.0,0.0,4.0,-6.973560661811331,0.75,0.8022477374169413,0.9785847422373768,0.8198040525164236,18.0,82.0,0.75,0.75,0.5,0.7071067811865476,66.95104033066255,23.66392150491257,4.0,68.30788979660785,22.818168722648796,-1.3568494659453023,0.8457527822637729,23.0,1.000000050882969
A,20260626.0,15.0,0.0,4.0,-5.300776615984347,0.75,0.7069981193101093,0.9926405276487074,0.7122398286364485,40.0,181.0,1.0,0.75,0.0,0.5,66.44836011495775,23.351039120766867,4.0,66.44836011495775,19.73937292248682,0.0,3.611666198280048,23.0,1.000000043735266
A,20260626.0,16.0,0.0,4.0,-6.161814161148806,1.0,0.7598692831887426,1.0,0.7598692831887426,32.0,143.0,1.0,1.0,0.0,0.0,23.6651108860136,18.81882842991212,4.0,23.6651108860136,18.81882842991212,0.0,0.0,23.0,0.9999999506735873
A,20260626.0,17.0,0.0,4.0,-5.808024991177917,1.0,0.7389931176709301,0.9999999999999999,0.7389931176709302,40.0,181.0,1.0,1.0,0.0,0.0,28.498797313440605,26.025732562135904,4.0,28.498797313440605,26.025732562135904,0.0,0.0,23.0,1.0000001187772194
A,20260626.0,18.0,0.0,4.0,-3.965797758860244,1.0,0.6010250265039547,1.0,0.6010250265039547,58.0,244.0,1.0,1.0,0.0,0.0,28.47140178750838,22.83951584953238,4.0,28.47140178750838,22.83951584953238,0.0,0.0,23.0,0.9999998749278826
A,20260626.0,19.0,0.0,4.0,-4.52103733843426,0.75,0.6501584489225641,0.9640462862147392,0.6744058435984087,42.0,193.0,1.0,0.75,0.0,1.0,23.6651108860136,23.81976328097827,4.0,25.04185920889692,23.002730842566166,-1.3767483228833193,0.8170324384121024,23.0,1.000000031921816
A,20260626.0,20.0,0.0,4.0,-3.350475079785314,0.75,0.5391548371474635,0.9987955437945364,0.53980500863986,62.0,270.0,0.75,0.75,0.5,0.5,66.95104033066255,19.475290609992484,4.0,68.30788979660785,19.959109772278893,-1.3568494659453023,-0.48381916228640875,23.0,1.0000001421500597
A,20260626.0,21.0,0.0,4.0,-4.753644140172112,1.0,0.6667857370298381,0.9999999999999999,0.6667857370298382,41.0,194.0,1.0,1.0,0.0,0.0,19.403903373800834,21.216035396662424,4.0,19.403903373800834,21.216035396662424,0.0,0.0,23.0,0.9999999969908056
